chr	start	end	ATAC	CTCF	REST	EP300
chr22	16441000	16441200	U	B	B	U
chr22	17095600	17095800	B	B	U	U
chr22	17171400	17171600	B	B	B	U
chr22	17201400	17201600	U	B	U	U
chr22	17214200	17214400	B	B	U	U
chr22	18024400	18024600	B	B	B	U
chr22	18076000	18076200	B	B	B	U
chr22	18078400	18078600	B	B	U	U
chr22	18122200	18122400	U	B	U	U
chr22	18954600	18954800	B	B	U	U
chr22	18999200	18999400	B	B	U	U
chr22	19039400	19039600	U	B	U	U
chr22	19106400	19106600	B	B	B	U
chr22	19179400	19179600	B	B	U	B
chr22	19232000	19232200	B	B	U	U
chr22	19271000	19271200	B	B	U	U
chr22	19291000	19291200	B	B	U	U
chr22	19406600	19406800	B	B	U	B
chr22	19430800	19431000	B	B	U	U
chr22	19447600	19447800	B	B	B	B
chr22	19503800	19504000	B	B	U	U
chr22	19730800	19731000	B	B	U	B
chr22	19841800	19842000	B	B	B	U
chr22	19854000	19854200	B	B	U	U
chr22	19941000	19941200	B	B	U	U
chr22	19953800	19954000	B	B	B	U
chr22	19962200	19962400	B	B	B	U
chr22	19970000	19970200	B	B	U	U
chr22	20016800	20017000	B	B	U	U
chr22	20020800	20021000	B	B	U	B
chr22	20060800	20061000	U	B	U	U
chr22	20061000	20061200	U	B	U	U
chr22	20080800	20081000	B	B	U	U
chr22	20084800	20085000	B	B	U	U
chr22	20130400	20130600	U	B	U	U
chr22	20154000	20154200	B	B	B	U
chr22	20157200	20157400	B	B	B	U
chr22	20186600	20186800	B	B	B	U
chr22	20207000	20207200	B	B	U	U
chr22	20215800	20216000	B	B	U	U
chr22	20238800	20239000	B	B	B	U
chr22	20430200	20430400	U	B	U	U
chr22	20431200	20431400	U	B	U	U
chr22	20465000	20465200	U	B	U	U
chr22	20465200	20465400	U	B	U	U
chr22	20482800	20483000	U	B	B	U
chr22	20507400	20507600	B	B	U	B
chr22	20565200	20565400	U	B	U	U
chr22	20568200	20568400	U	B	U	U
chr22	20605000	20605200	B	B	U	U
chr22	20606400	20606600	B	B	B	B
chr22	20611400	20611600	U	B	U	U
chr22	20708000	20708200	U	B	U	U
chr22	20769000	20769200	B	B	U	B
chr22	20772400	20772600	U	B	U	U
chr22	20784200	20784400	B	B	U	B
chr22	20794200	20794400	B	B	U	U
chr22	20956400	20956600	U	B	B	U
chr22	20981800	20982000	B	B	U	U
chr22	21001200	21001400	B	B	U	U
chr22	21448000	21448200	B	B	B	U
chr22	21450400	21450600	U	B	U	U
chr22	21591400	21591600	U	B	U	U
chr22	21628000	21628200	U	B	U	U
chr22	21629400	21629600	B	B	U	B
chr22	21632600	21632800	B	B	U	B
chr22	21642200	21642400	B	B	U	B
chr22	21646800	21647000	B	B	U	B
chr22	21651400	21651600	B	B	U	U
chr22	21665800	21666000	B	B	U	B
chr22	21666000	21666200	B	B	U	B
chr22	21774800	21775000	B	B	U	U
chr22	21907000	21907200	U	B	B	U
chr22	21938200	21938400	B	B	U	B
chr22	21939800	21940000	U	B	U	U
chr22	21947800	21948000	B	B	U	B
chr22	21982600	21982800	B	B	U	B
chr22	21990800	21991000	U	B	U	U
chr22	22079200	22079400	B	B	U	U
chr22	22079400	22079600	U	B	U	U
chr22	22195200	22195400	B	B	B	B
chr22	22201200	22201400	B	B	U	U
chr22	22342800	22343000	B	B	B	U
chr22	22371000	22371200	B	B	B	U
chr22	22394600	22394800	U	B	U	U
chr22	22702600	22702800	B	B	U	U
chr22	22745600	22745800	B	B	B	U
chr22	22753200	22753400	B	B	U	U
chr22	23094800	23095000	B	B	U	U
chr22	23111200	23111400	U	B	U	U
chr22	23157000	23157200	B	B	U	U
chr22	23260400	23260600	B	B	U	U
chr22	23275200	23275400	U	B	U	U
chr22	23282000	23282200	B	B	U	B
chr22	23286800	23287000	U	B	U	U
chr22	23287000	23287200	U	B	U	U
chr22	23385800	23386000	B	B	B	U
chr22	23402600	23402800	B	B	B	U
chr22	23433200	23433400	B	B	U	U
chr22	23521800	23522000	B	B	B	B
chr22	23849800	23850000	B	B	B	U
chr22	24247800	24248000	B	B	B	U
chr22	24423600	24423800	B	B	B	U
chr22	24772800	24773000	U	B	B	U
chr22	25567400	25567600	U	B	U	B
chr22	25764200	25764400	U	B	U	U
chr22	25892600	25892800	U	B	U	U
chr22	25892800	25893000	U	B	U	U
chr22	25903400	25903600	U	B	U	U
chr22	26259400	26259600	U	B	B	U
chr22	26377600	26377800	U	B	U	U
chr22	26479200	26479400	B	B	U	U
chr22	26643000	26643200	B	B	U	B
chr22	27886600	27886800	U	B	U	U
chr22	28051800	28052000	U	B	B	U
chr22	28253200	28253400	U	B	U	U
chr22	28594800	28595000	B	B	B	U
chr22	29030200	29030400	U	B	U	U
chr22	29206000	29206200	B	B	U	U
chr22	29259600	29259800	B	B	U	U
chr22	29313200	29313400	U	B	U	U
chr22	29426800	29427000	U	B	U	U
chr22	29590000	29590200	B	B	B	U
chr22	29609200	29609400	B	B	U	U
chr22	29625800	29626000	B	B	U	U
chr22	29689800	29690000	B	B	B	U
chr22	29690000	29690200	B	B	B	U
chr22	29701200	29701400	B	B	B	U
chr22	30386800	30387000	B	B	U	U
chr22	30431200	30431400	U	B	U	U
chr22	30667400	30667600	B	B	U	U
chr22	30755600	30755800	B	B	B	U
chr22	30867000	30867200	U	B	U	U
chr22	31272800	31273000	B	B	B	U
chr22	31496400	31496600	B	B	U	U
chr22	31561200	31561400	B	B	B	U
chr22	31947400	31947600	B	B	B	U
chr22	32202600	32202800	B	B	U	U
chr22	32474600	32474800	B	B	B	U
chr22	32628200	32628400	B	B	U	U
chr22	32660200	32660400	B	B	B	U
chr22	32836400	32836600	U	B	U	U
chr22	33058200	33058400	B	B	U	U
chr22	33274200	33274400	B	B	U	U
chr22	33274400	33274600	B	B	U	U
chr22	33302200	33302400	B	B	B	U
chr22	34943800	34944000	U	B	U	U
chr22	35024000	35024200	B	B	B	U
chr22	35623400	35623600	B	B	B	U
chr22	35627200	35627400	U	B	B	U
chr22	35739800	35740000	U	B	U	U
chr22	35761000	35761200	U	B	U	U
chr22	35931000	35931200	B	B	B	U
chr22	36124200	36124400	B	B	B	B
chr22	36201600	36201800	B	B	U	B
chr22	36201800	36202000	B	B	U	B
chr22	36470200	36470400	B	B	B	U
chr22	36470400	36470600	B	B	B	U
chr22	36511000	36511200	B	B	U	U
chr22	36511200	36511400	B	B	U	U
chr22	37022200	37022400	U	B	U	U
chr22	37127000	37127200	U	B	U	U
chr22	37182200	37182400	B	B	U	U
chr22	37198400	37198600	B	B	B	U
chr22	37200600	37200800	U	B	U	U
chr22	37330400	37330600	B	B	U	U
chr22	37457400	37457600	B	B	B	U
chr22	37633800	37634000	B	B	U	U
chr22	37634000	37634200	B	B	U	U
chr22	37636400	37636600	U	B	U	U
chr22	37636600	37636800	U	B	U	U
chr22	37735200	37735400	B	B	B	U
chr22	37768200	37768400	B	B	U	U
chr22	37888000	37888200	U	B	U	U
chr22	37934000	37934200	B	B	B	U
chr22	38072200	38072400	U	B	U	U
chr22	38298200	38298400	B	B	B	U
chr22	38441000	38441200	U	B	U	U
chr22	38468200	38468400	B	B	U	U
chr22	38572200	38572400	B	B	U	U
chr22	38733400	38733600	B	B	U	U
chr22	38843200	38843400	B	B	U	U
chr22	38868800	38869000	B	B	B	U
chr22	38869000	38869200	B	B	B	U
chr22	38870400	38870600	B	B	U	U
chr22	38927600	38927800	U	B	U	U
chr22	39215800	39216000	B	B	U	U
chr22	39216000	39216200	B	B	U	U
chr22	39244200	39244400	U	B	U	U
chr22	39385000	39385200	B	B	U	U
chr22	39495600	39495800	B	B	B	U
chr22	39529200	39529400	B	B	B	B
chr22	39535000	39535200	B	B	B	U
chr22	39940800	39941000	U	B	U	U
chr22	39943400	39943600	U	B	U	U
chr22	40156200	40156400	B	B	B	B
chr22	40187400	40187600	U	B	U	U
chr22	40187600	40187800	U	B	U	U
chr22	40436800	40437000	B	B	B	U
chr22	40552200	40552400	B	B	B	B
chr22	40760400	40760600	U	B	B	U
chr22	40856600	40856800	B	B	B	U
chr22	40857000	40857200	B	B	U	U
chr22	41246200	41246400	B	B	U	U
chr22	41301400	41301600	B	B	U	U
chr22	41577000	41577200	B	B	B	U
chr22	41746600	41746800	B	B	B	U
chr22	42621600	42621800	B	B	B	U
chr22	43034000	43034200	B	B	B	U
chr22	43293800	43294000	B	B	U	U
chr22	43796800	43797000	U	B	U	U
chr22	43946200	43946400	B	B	B	U
chr22	43946400	43946600	B	B	U	U
chr22	43993200	43993400	B	B	B	U
chr22	44003000	44003200	U	B	U	U
chr22	44081200	44081400	B	B	U	U
chr22	44085800	44086000	U	B	B	U
chr22	44684800	44685000	B	B	B	U
chr22	44820600	44820800	B	B	U	U
chr22	44828200	44828400	B	B	U	U
chr22	44975600	44975800	B	B	B	U
chr22	45096400	45096600	B	B	B	U
chr22	45101800	45102000	B	B	B	U
chr22	45192800	45193000	B	B	B	U
chr22	45549000	45549200	B	B	U	U
chr22	45969200	45969400	B	B	U	U
chr22	45969400	45969600	B	B	U	U
chr22	45969600	45969800	B	B	U	U
chr22	46006400	46006600	B	B	B	U
chr22	46250400	46250600	B	B	U	U
chr22	46296400	46296600	B	B	B	U
